BuildingType,Neighborhood,CouncilDistrictCode,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Total Consumption (kbtu),Total EUI (kbtu/sf),Energy Use,Landmark,Wind Speed (kts),Daytime Temperature (C),Nighttime Temperature (C),Climate Type,Earthquake Risk,Flood Risk,Water Bodies,Commercial,Industrial,Public Utilities,Energy Efficiency Class
Multifamily MR (5-9),DOWNTOWN,2.0,47.60284,-122.33184,1910,6,62216,4133722.6120102,66.4414718402051,Electricity,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.65068,-122.36331,2001,4,102100,3747028.382812,36.69959238797257,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61316,-122.34153,2003,7,116947,8897978.6892352,76.08556601909582,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),DELRIDGE NEIGHBORHOODS,1.0,47.54448,-122.37603,2007,4,37940,1776596.3547304,46.82647218583026,Electricity,Coastal,5.0,13.0,10.0,2,Moderate,Drainage Flood,3.0,27.0,222.0,437.0,1
Multifamily MR (5-9),EAST,3.0,47.6136,-122.32785,1909,6,51976,3851899.4255006,74.10919319494766,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),DELRIDGE NEIGHBORHOODS,1.0,47.56379,-122.36301,1917,4,56617,1891136.3695202,33.40227086423159,Mixed,Green,5.0,13.0,10.0,2,Moderate,Drainage Flood,3.0,27.0,222.0,437.0,1
Multifamily MR (5-9),NORTH,5.0,47.72232,-122.29181,2009,6,56745,2631431.069941,46.372915145669225,Electricity,Terrain,5.0,13.0,11.0,3,Lower,No Flood,20.0,471.0,81.0,352.0,1
Multifamily LR (1-4),GREATER DUWAMISH,2.0,47.53685,-122.28406,2003,4,67920,2464010.23174,36.27812473115429,Electricity,Coastal,5.0,13.0,10.0,2,High,No Flood,0.0,190.0,570.0,452.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62677,-122.3417,2016,7,320844,9549636.2235578,29.764110357550088,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,3
Multifamily MR (5-9),DOWNTOWN,2.0,47.60138,-122.32997,2002,6,106740,3043339.2379708,28.511703559778905,Electricity,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,0
Multifamily HR (10+),DOWNTOWN,7.0,47.61534,-122.34844,1989,26,276497,11836046.1506416,42.80714130945942,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,3
Multifamily MR (5-9),DOWNTOWN,2.0,47.59625,-122.32283,2002,5,195993,7090012.0162242,36.17482265297332,Natural Gas,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,3
Multifamily LR (1-4),NORTHWEST,5.0,47.70835,-122.33555,1976,4,31334,709186.3344272,22.633124862041235,Electricity,Green,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.66112,-122.33207,2005,3,47658,1078608.6690344,22.632268853799992,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.64859,-122.33311,2000,3,56986,2916846.2371136,51.18531283321518,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.65675,-122.38833,1962,3,24059,718569.7238272,29.866982161652604,Electricity,Green,3.0,12.0,10.0,0,Moderate,No Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.68993,-122.30754,1988,4,60487,1750807.3885176,28.9451847259345,Electricity,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.68984,-122.30826,1990,3,29914,933275.3218656,31.19861342065922,Electricity,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.67723,-122.29126,1965,2,74614,4050728.7095958,54.2891241535878,Natural Gas,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,0
Multifamily LR (1-4),NORTHEAST,4.0,47.67602,-122.29059,1998,3,23937,631983.2185856,26.40193919812842,Electricity,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily MR (5-9),BALLARD,6.0,47.66963,-122.37771,2000,6,86992,2029342.4280004,23.32792013059132,Natural Gas,Coastal,3.0,13.0,10.0,0,Moderate,Flood,256.0,92.0,76.0,20.0,0
Multifamily LR (1-4),NORTHWEST,6.0,47.67015,-122.36011,1959,2,26211,840912.6032342,32.08243116379383,Natural Gas,Coastal,2.0,12.0,10.0,0,Fair,Flood,256.0,302.0,105.0,178.0,1
Multifamily LR (1-4),GREATER DUWAMISH,2.0,47.549,-122.31701,1914,2,28260,676450.2479168,23.93666836223637,Electricity,Terrain,5.0,13.0,10.0,2,High,No Flood,0.0,190.0,570.0,452.0,1
