,Model,Dataset,R2 Score,Mean Absolute Percentage Error,Std. of Error
0,Linear Regression,normal_data,0.831,0.348,0.331
1,Linear Regression,climate_data,0.704,0.624,0.646
2,Linear Regression,efficiency_data,0.827,0.386,0.575
3,Linear Regression,mixed_data,0.514,1.043,1.016
4,MLP Regressor,normal_data,0.802,0.367,0.376
5,MLP Regressor,climate_data,0.693,0.315,0.326
6,MLP Regressor,efficiency_data,0.821,0.364,0.493
7,MLP Regressor,mixed_data,0.828,0.365,0.463
8,Random Forest Regressor,normal_data,0.796,0.262,0.242
9,Random Forest Regressor,energy_use_data,0.796,0.262,0.242
10,Random Forest Regressor,climate_data,0.646,0.249,0.294
11,Random Forest Regressor,efficiency_data,0.816,0.298,0.434
12,Random Forest Regressor,mixed_data,0.813,0.283,0.449
